,Centers,Locations,emails,phones,programs
168,Garden Grove Child Care Program Inc. Preschool Site,"2370 Burrows Avenue
Winnipeg, Manitoba
R2R 1W1",jodi@gardengrovechildcare.ca,,"Infant, Nursery/Preschool"
169,Garderie de Bambins Co-op Inc.,"46 Benoit Avenue
St.Malo, Manitoba
R0A 1T0",garderiestmalo@gmail.com,(1204) 347-5691,"Infant, Nursery/Preschool, School Age"
170,Garderie Ile des Chênes Daycare Inc.,"1 Rivard Street
Ile des Chênes, Manitoba
R0A 0T0",garderieidcdaycare@gmail.com,(204) 878-2762,"Infant, Nursery/Preschool, School Age"
171,Garderie Les Petits Amis Day Care Inc.,"88 Arena Road
Ste. Anne, Manitoba
R5H 1G6",garderie@mymts.net,(204) 422-8933,"Infant, Nursery/Preschool, School Age"
172,Garderie Les Petits Genies Corporation,"570 rue Des Meurons
Winnipeg, Manitoba
R2H 2P8",info@petitsgenies.ca,,"Infant, Nursery/Preschool"
173,General Vanier Children's Center Inc.,"18 Lomond Boulevard
Winnipeg, Manitoba
R2J 1Y2",daycaregv@gmail.com,,"Nursery/Preschool, School Age"
174,General Vanier Nursery School Inc.,"18 Lomond Boulevard
Winnipeg, Manitoba
R2J 1Y2",generalvaniernursery@gmail.com,(204) 253-2559,Nursery/Preschool
175,Gillam Preschool and Child Centre,"500 Mattonnabee Avenue
Gillam, Manitoba
R0B 0L0",cckids@mymts.net,,"Infant, Nursery/Preschool, School Age"
176,Gillis Play and Learn Centre Inc.,"3 Pierson Drive
Tyndall, Manitoba
R0E 2B0",gplc@mymts.net,,"Infant, Nursery/Preschool, School Age"
177,Gimli Children's Centre Inc.,"63 3rd Avenue
Gimli, Manitoba
R0C 1B0",gcckids@mymts.net,(204) 642-7465,"Infant, Nursery/Preschool, School Age"
178,Glenboro Children's Learning Centre Inc.,"221 Cochrane Street
Glenboro, Manitoba
R0K 0X0",gclci2760@gmail.com,,"Infant, Nursery/Preschool, School Age"
179,Good News Daycare Inc.,"PTH 205/216 South
Grunthal, Manitoba
R0A 0R0",goodnewsdaycare@gmail.com,(204) 434-6829,"Infant, Nursery/Preschool, School Age"
180,Governor Semple Children's Place,"150 Hartford Avenue
Winnipeg, Manitoba
R2V 0V6",smdcdirectors@gmail.com,,"Nursery/Preschool, School Age"
181,Grandview Tiny Treasures Children's Centre Inc.,"525 Main Street
Grandview, Manitoba
R0L 0Y0",tiny_treasures@hotmail.com,,"Infant, Nursery/Preschool, School Age"
182,Grass Roots Early Learning and Child Care,"289 Thompson Drive
Thompson, Manitoba
R8N 0C3",kaochild@mymts.net,,"Nursery/Preschool, School Age"
183,Greendell Tiny Tots Nursery School,"75 Woodlawn Avenue
Winnipeg, Manitoba
R2M 2P3",greendelltinytots@gmail.com,,Nursery/Preschool
184,Growing Minds Child Care Centre Inc.,"111 Second Avenue S
Niverville, Manitoba
R0A 1E0",office@growingmindscc.ca,(204) 388-6113,"Infant, Nursery/Preschool"
185,Growing Minds Child Care Centre Inc-NHS,"401 Centre Street
Niverville, Manitoba
R0A 0A1",office@growingmindscc.ca,(204) 388-4879,"Infant, Nursery/Preschool"
186,Grunthal Christian Preschool,"SE-21-5-5E
Grunthal, Manitoba
R0A 0R0",grunthalchristianpreschool@gmail.com,(204) 434-6829,Nursery/Preschool
187,Hand in Hand Daycare East,"659 Quarry Road
East Selkirk, Manitoba
R0E 0M0",hihdc@mts.net,,"Infant, Nursery/Preschool, School Age"
188,Hand in Hand Daycare Inc.,"1147 Breezy Point Road
Selkirk, Manitoba
R1A 2A7",hihdc@mymts.net,,"Infant, Nursery/Preschool"
189,Happiness Is.... Inc.,"282 Niverville Avenue
Winnipeg, Manitoba
R2H 3G2",cheryl.ehappy@outlook.com,,Nursery/Preschool
190,"Happiness Is....Inc., Ecole Howden Before and Afterschool Program","150 Howden Road
Winnipeg, Manitoba
R2J 1L3",hihowden@outlook.com,(204) 797-2491,"Nursery/Preschool, School Age"
191,Happiness Is...Inc Before and Afterschool Program (Provencher),"320 ave de la Cathedrale avenue
Wpg, Manitoba
R2H 0J4",hiprovencher@outlook.com,(204) 797-3793,"Nursery/Preschool, School Age"
192,Happy Face Children's Centre,"416 5th Street
Winnipegosis, Manitoba
R0L 2G0",happyfcc@mymts.net,(204) 656-4474,"Infant, Nursery/Preschool"
193,Happy Feet Early learning (Summer program),"357 Elmdale Street
Steinbach, Manitoba
R0G 0G7",Happyfeetelc@shaw.ca,(204) 320-9459,School Age
194,Happy Feet Early Learning Centre Inc.,"466 Reimer Avenue E
Steinbach, Manitoba
R5G 0G7",happyfeetelc@shaw.ca,(204) 326-1866,"Infant, Nursery/Preschool"
195,Happy Rock Children's Centre Inc.,"78 Morris avenue S
Gladstone, Manitoba
R0J 0T0",happyrockcc@hotmail.com,(204) 385-3046,"Infant, Nursery/Preschool"
196,Happy Time Nursery Co-op Inc.,"900 James Avenue
Beausejour, Manitoba
R0E 0C0",happynur@mymts.net,,Nursery/Preschool
197,Harmony Day Care Centre,"375 Assiniboine Avenue
Winnipeg, Manitoba
R3C 0Y3",harmomy@shaw.ca,(204) 956-2340,Nursery/Preschool
198,Harrow Co-operative Children's Centre Inc.,"550 Harrow Street
Winnipeg, Manitoba
R3M 3A2",Harrowdaycare@mymts.net,,"Nursery/Preschool, School Age"
199,Harrow Co-operative Children's Centre Inc. Infant & Preschool,"611 Guelph Street
Winnipeg, Manitoba
R3M 2B6",harrowdaycare@mymts.net,,"Infant, Nursery/Preschool"
200,Harstone Children's Centre,"905 Sargent Avenue
Wpg, Manitoba
R3E 0C9",harcc@shaw.ca,,"Nursery/Preschool, School Age"
201,Harstone Children's Centre - Alverstone Unit,"875 Alverstone Street
Winnipeg, Manitoba
R3E 2H4",harcc@shaw.ca,,Nursery/Preschool
202,Harstone Children's Centre - Clifton Location,"1070 Clifton Street
Winnipeg, Manitoba
R3E 2T7",harcc@shaw.ca,,"Nursery/Preschool, School Age"
203,Harstone Children's Centre - Minto,"687 Minto Street
Winnipeg, Manitoba
R3G 2R3",harcc@shaw.ca,,Nursery/Preschool
204,Harstone Children's Centre Dominion location,"948 Sargent Avenue
Winnipeg, Manitoba
R3E 0C9",harcc@shaw.ca,,"Infant, Nursery/Preschool"
205,Harstone Children's Centre/Principal Sparling School,"1150 Sherburn Street
Winnipeg, Manitoba
R3E 2N4",harcc@shaw.ca,,"Nursery/Preschool, School Age"
206,Hartney Enrichment Programs Inc.,"415 Centennial Street
Hartney, Manitoba
R0M 0X0",hartneyenrichmentprograms@outlook.com,,"Infant, Nursery/Preschool"
207,Hartney Preschool Enrichment Program,"209 Airdrie Street
Hartney, Manitoba
R0M 0X0",hartneyenrichmentprograms@outlook.com,,Nursery/Preschool
208,Here We Grow Nursery School,"1620 Braecrest Drive
Brandon, Manitoba
R7C 0B3",herewegrownurseryschool@outlook.com,,Nursery/Preschool
209,Heritage Park Children's Programs Inc.,"47 Heritage Boulevard
Winnipeg, Manitoba
R2Y 0N9",hpcpexecutivedirector@shaw.ca,,"Infant, Nursery/Preschool, School Age"
210,Heritage Park Children's Programs Inc. Jameswood Site,"1 Braintree Crescent
Winnipeg, Manitoba
R3J 1C7",hpcpexecutivedirector@shaw.ca,,"Infant, Nursery/Preschool"
211,Highbury Early Learning & Child Care,"99 Highbury Road
Winnipeg, Manitoba
R2N 2N5",kara.kreutzer@ymanitoba.ca,,"Infant, Nursery/Preschool, School Age"
212,Hive Site,"580 1st Street
Morden, Manitoba
R6M 1R5",srichards.pvccc@outlook.com,(204) 822-3233,"Infant, Nursery/Preschool"
213,Holland Child Care Centre,"101 Thompson Street
Holland, Manitoba
R0G 0X0",hcccdirector@hotmail.ca,,"Infant, Nursery/Preschool"
214,Horizon's Access,"280 Booth Drive
Winnipeg, Manitoba
r3j 3r7",,(204) 831-9732,"Infant, Nursery/Preschool"
215,Horizons Children's Centre,"367 Hampton Street
Winnipeg, Manitoba
R3J 1P7",hampton@horizonscc.ca,,"Infant, Nursery/Preschool"
216,Horizons Children's Centre Inc. /Grace,"408 Booth Drive
Winnipeg, Manitoba
r3j 3r7",,(204) 837-0729,"Infant, Nursery/Preschool"
217,Huron Child Care Inc.,"1120 McPhillips Street
Winnipeg, Manitoba
R2X 2L3",Huron.childcare@shawcable.com,,"Infant, Nursery/Preschool, School Age"
218,Immaculate Heart of Mary School Lubov Nursery School,"35 Marcie Street
Winnipeg, Manitoba
R2G 3S4",director@lubovnurseryschool.com,,Nursery/Preschool
219,Inkster Community Child Care Inc.,"633 Inkster Boulevard
Winnipeg, Manitoba
R2W 0L3",info@inkstercommunitychildcare.com,(204) 582-1755,"Nursery/Preschool, School Age"
220,Inspired by Wonder Inc. - School site,"550 Robertson Street
Winnipeg, Manitoba
R2X 2C4",pfurman@inspiredbywonder.ca,,"Nursery/Preschool, School Age"
221,Inspired by Wonder Inc. - SSCY site,"1155 Notre Dame Avenue
Winnipeg, Manitoba
R3E 3G1",pfurman@inspiredbywonder.ca,,"Infant, Nursery/Preschool"
222,J. A. Cuddy Child Care Centre Inc.,"5 Main Street
Sanford, Manitoba
R0G 2J0",jacuddy@mymts.net,,"Infant, Nursery/Preschool, School Age"
223,James Child Care - 2nd site,"3 Marshall Crescent
Winnipeg, Manitoba
R3T 4C3",jamescc@mymts.net,,Nursery/Preschool
224,James Child Care Inc.,"1226 Waller Avenue
Winnipeg, Manitoba
R3T 1P6",jamescc@mymts.net,,"Nursery/Preschool, School Age"
225,James Nisbet Nursery School Inc.,"70 Doubleday Drive
Winnipeg, Manitoba
R2P 0P4",nisbetns@mymts.net,(204) 953-1193,Nursery/Preschool
226,K.E.E.P. Child Care Inc.,"795 Selkirk Avenue
Winnipeg, Manitoba
R2W 2N5",795keep@gmail.com,,"Nursery/Preschool, School Age"
227,K.I.D.S. Inc. - Sir William Osler,"1600 Grant Avenue
Winnipeg, Manitoba
R3M 0M5",karenohlson@kidsincorporated.ca,,"Nursery/Preschool, School Age"
228,K.I.D.S. Inc. South Pointe,"615 Kirkbridge Drive
Winnipeg, Manitoba
R3Y 0N1",karenohlson@kidsincorporated.ca,,"Infant, Nursery/Preschool, School Age"
229,K.I.D.S. Kids in day care are super Inc.,"691 Montrose Street
Winnipeg, Manitoba
R3M 3M4",karenohlson@kidsincorporated.ca,,"Nursery/Preschool, School Age"
230,Ka Ni Kanichihk Daycare,"455 McDermot Avenue
Winnipeg, Manitoba
R3A 0B5",daycare@kanikanichihk.ca,,"Infant, Nursery/Preschool"
231,Ka-Ka-Kwe-Ke-Je-Ong Day Care Centre Inc.,"261 Arena Road
Ebb & Flow, Manitoba
R0L 0R0",enfdaycare@hotmail.com,(204) 448-2133,"Infant, Nursery/Preschool"
232,Kanawenimawasowin Child Care Centre Inc.,"490 7th Street E
The Pas, Manitoba
R9A 1M7",kcidaycare@gmail.com,,"Infant, Nursery/Preschool"
233,Keewatinowi Awasisak Opi-Ki-Wak,"494 Princeton Drive
Thompson, Manitoba
R8N 1A5",kaochild@mymts.net,,"Infant, Nursery/Preschool"
234,Kiddie Corner Early Learning Centre Inc.,"711 Mountain Avenue
KILLARNEY, Manitoba
R0K 1G0",kiddiekorner@mymts.net,(204) 523-8940,"Infant, Nursery/Preschool"
235,Kiddie Sunshine Centre Inc.,"54 Centre Avenue W
Altona, Manitoba
R0G 0B2",kscdirector19@gmail.com,(204) 324-5369,"Infant, Nursery/Preschool, School Age"
236,Kiddies Northern Preschool Inc.,"101 Beaver Crescent
Thompson, Manitoba
R8N 1C5",kiddies@mymts.net,(204) 778-7739,"Nursery/Preschool, School Age"
237,KidFit 60,"1295 Salter Street
Winnipeg, Manitoba
R2V 3T2",kidfit60jr@gmail.com,(431) 570-0037,Nursery/Preschool
238,Kidi-Garden Day Nurseries Inc.,"172 Smithfield Avenue
Winnipeg, Manitoba
R2V 0C2",kidigrdn@mts.net,(204) 338-3193,"Nursery/Preschool, School Age"
239,Kids & Company Fort St.,"158 Fort Street
Winnipeg, Manitoba
R3C 1C9",winnipeg@kidsandcompany.com,,"Infant, Nursery/Preschool"
240,Kids Centre Co-op Inc.,"113-25 Regina Place
Winnipeg, Manitoba
R2C 0S5",kidscentrecoop@outlook.com,(204) 224-1181,Nursery/Preschool
241,Kids First Early Learning Centre Inc.,"400 PR 366
Inglis, Manitoba
R0J 0X0",kidsfirst@live.ca,,"Infant, Nursery/Preschool"
242,Kids on the Corner,"162 Railroad Avenue W
Morris, Manitoba
R0G 1K0",bnkoc2019@outlook.com,,"Nursery/Preschool, School Age"
243,Kidsplace Nursery School Co-op Inc.,"245 Sutton Avenue
Winnipeg, Manitoba
R2G 0T1",kidsplacemssherry@gmail.com,(204) 661-1325,Nursery/Preschool
244,Kidz Korner Infant Childcare Inc.,"3708 Roblin Boulevard
Winnipeg, Manitoba
R3R 0E2",gmidc@mts.net,,"Infant, Nursery/Preschool"
245,Killarney Nursery School Inc.,"rm. 53-417 King Avenue
Killarney, Manitoba
R0K 1G0",susan.totsoflove@gmail.com,(204) 523-1566,Nursery/Preschool
246,Kinder Korner Early Learning Centre - Middle School,"1 Brighton Lane
Steinbach, Manitoba
R5A 1C2",kkmiddleschool@mymts.net,,"Infant, Nursery/Preschool, School Age"
247,Kinder Korner Early Learning Centre - SR,"190 McKenzie Avenue
Steinbach, Manitoba
R5G 0P1",kksr@mymts.net,(204) 326-9976,"Infant, Nursery/Preschool"
248,Kinder Korner Early Learning Centre Inc.,"307 Hanover Street
Steinbach, Manitoba
R5G 0G1",kinko@mymts.net,,"Infant, Nursery/Preschool"
249,KinderWorld Day Care Inc.,"1511 Gateway Road
Winnipeg, Manitoba
R2G 3L4",kinderw2@mymts.net,,"Infant, Nursery/Preschool, School Age"
250,Kings Park Day Care Centre Inc.,"230 Dalhousie Drive
Winnipeg, Manitoba
R3T 2Z1",office@kingsparkchildcare.org,,"Infant, Nursery/Preschool, School Age"
251,Kirkfield-Westwood Nursery School,"165 Sansome Avenue
Winnipeg, Manitoba
R3K 0N8",kirkfieldwestwoodnurseryschool@gmail.com,(204) 889-2392,Nursery/Preschool
252,Knox Day Nursery,"406 Edmonton Street
Winnipeg, Manitoba
R3B 2M2",knoxday@mts.net,,"Infant, Nursery/Preschool"
253,Kokum's Early Enrichment Program,"836 Lorne Avenue
Brandon, Manitoba
R7A 0T8",bfckeep@mymts.net,(204) 728-9041,"Infant, Nursery/Preschool"
254,Kokum's Early Enrichment Program - 2,"Unit B-1129 3rd Street
Brandon, Manitoba
R7A 3E7",bfckeep@mymts.net,(204) 727-4210,"Infant, Nursery/Preschool"
255,Kookum's Place Infant Centre,"134 1/2 Higgins Avenue
Winnipeg, Manitoba
R3B 0B7",tnault@abcentre.org,(204) 949-0753,"Infant, Nursery/Preschool"
256,Kookum's Place Preschool Centre,"100-181 Higgins Avenue
Winnipeg, Manitoba
R3B 3G1",Kookums.Preschool@abcentre.org,(204) 989-6246,Nursery/Preschool
257,La Garderie Arc-en-Ciel Inc.,"123 Rogers Rue
Notre Dame De Lourdes, Manitoba
R0G 1M0",arcenciel2315@gmail.com,,"Infant, Nursery/Preschool, School Age"
258,La Salle Kids Inc - Beaudry Site,"41 Beaudry Rue
La Salle, Manitoba
R0G 0A1",lasallekidz@gmail.com,,"Infant, Nursery/Preschool"
259,La Salle KIDZ Inc.,"90 PR 247 East
La Salle, Manitoba
R0G 0A1",lasallekidz@gmail.com,,"Infant, Nursery/Preschool"
260,La Salle Nursery School Inc.,"43 Beaudry Street
La Salle, Manitoba
R0G 1B0",lasallenursery@gmail.com,(204) 250-9333,Nursery/Preschool
261,Lac du Bonnet Children's Centre Inc.,"285 Mcarthur Avenue
Lac Du Bonnet, Manitoba
R0E 1A0",ldbcc@mymts.net,,"Infant, Nursery/Preschool, School Age"
262,Lakeview Children's Centre,"407 Main Street
Langruth, Manitoba
R0H 0N0",,(204) 445-2360,"Infant, Nursery/Preschool"
263,Lakewood Children's Centre Inc.,"55 Kay Crescent
Winnipeg, Manitoba
R2Y 1L1",executivedirector@lakewoodcc.ca,,"Infant, Nursery/Preschool, School Age"
264,Landmark Child Care Inc,"177 Second Street E
Landmark, Manitoba
R0A 0X0",landmarkchildcareinc@gmail.com,,"Nursery/Preschool, School Age"
265,Landmark Preschool Inc.,"27093 MB ProvHwy 210
Landmark, Manitoba
R0A 0X0",thelandmarkpreschool@gmail.com,,Nursery/Preschool
266,Laugh 'N' Learn Early Learning Centre,"555 Paufeld Drive
Winnipeg, Manitoba
R2G 2S4",lnl1@mymts.net,,"Infant, Nursery/Preschool"
267,Laugh 'N' Learn School Age Centre Inc.,"400 Donwood Drive
Winnipeg, Manitoba
R2G 0X4",lnl1@mymts.net,,"Nursery/Preschool, School Age"
268,Laura Secord Community Child Care,"980 Palmerston Avenue
Winnipeg, Manitoba
R3G 1J9",lscccinc@mts.net,,"Nursery/Preschool, School Age"
269,Laurier Play Zone,"159 Fosberry Street
Laurier, Manitoba
R0J 1A0",cfanpcc@mymts.net,,"Infant, Nursery/Preschool"
270,Le Coin Magique Inc,"310 Pembina Trail
Ste. Agathe, Manitoba
R0G 1Y0",lcmgarderie@gmail.com,,"Infant, Nursery/Preschool, School Age"
271,Le P'tit Bonheur Inc. (Tache),"300 rue Aubert
Winnipeg, Manitoba
R2H 2B6",bureau@leptitbonheurinc.com,,"Infant, Nursery/Preschool, School Age"
272,Le P'tit Paradis,"32 Barberry chemin
Winnipeg, Manitoba
R2J 2G9",famillepetitparadis@gmail.com,(204) 254-4180,"Infant, Nursery/Preschool"
273,Learning and Growing Day Care Inc.,"3659 Roblin Boulevard
Winnipeg, Manitoba
R3R 0E1",cathy@lgdaycare.ca,,"Infant, Nursery/Preschool"
274,Learning Tree Day Nursery,"7-1575 Regent Avenue W
Winnipeg, Manitoba
R2C 3B3",learningtree10@gmail.com,,Nursery/Preschool
275,Legacy Children's Centre,"333 Main Street
Landmark, Manitoba
R0A 0X0",legacychildrenscentre@gmail.com,,Nursery/Preschool
276,Leila Day Care Centre Inc.,"2095 Sinclair Avenue
Winnipeg, Manitoba
R2V 3K2",leiladci@mymts.net,(204) 338-9301,"Infant, Nursery/Preschool, School Age"
277,Les Amis de La Source,"T-102 Saint Barbara Avenue
Shilo, Manitoba
R0K 2A0",amislasource@hotmail.com,,"Infant, Nursery/Preschool, School Age"
278,Les Boutons d'Or Inc.,"310 A Lamoureux Chemin
Ile Des Chenes, Manitoba
R0A 0T1",boutonsdor@live.com,,"Nursery/Preschool, School Age"
279,Les Cheminots,"851 Panet chemin
Winnipeg, Manitoba
R2K 4C9",lescheminots@lafpfm.ca,,"Nursery/Preschool, School Age"
280,Les Chouettes de Lorette Inc.,"361 Senez Street
Lorette, Manitoba
R0A 0Y0",chouettes08@gmail.com,,"Infant, Nursery/Preschool, School Age"
281,Les Enfants Precieux Inc.,"209 rue Kenny
Winnipeg, Manitoba
R2H 2E5",,(204) 235-0039,"Infant, Nursery/Preschool, School Age"
282,Les Franco-Lions de Lacerte Inc.,"12-1101 Autumnwood Promenade
Winnipeg, Manitoba
R2J 1C8",francolions@outlook.com,,"Nursery/Preschool, School Age"
283,Les Louveteaux,"271 Chemin Weir Rue
Thompson, Manitoba
R8N 1P1",garderielpmn@gmail.com,,"Infant, Nursery/Preschool"
284,Les Petites Grenouilles,"377 Sabourin Rue
St. Pierre Jolys, Manitoba
R0A 1V0",cenpg@mymts.net,,"Infant, Nursery/Preschool, School Age"
285,Les Petits Dores Incorporee,"446 Veterans Memorial Road
St. Laurent, Manitoba
R0C 2S0",premat@live.ca,(204) 646-4125,"Infant, Nursery/Preschool, School Age"
286,Les Petits Génies à Lorette,"8-1321 Dawson Road
Lorette, Manitoba
R0A 0Y0",info@petitsgenies.ca,,Nursery/Preschool
287,Les P'tits Brisous Inc.,"29 Normandeau Bay
LaBroquerie, Manitoba
R0A 0W0",,(204) 424-5155,"Infant, Nursery/Preschool, School Age"
288,Les P'tits Loups,"14 Caron Bay
Saint Georges, Manitoba
R0E 1V0",garderiestgeorges@outlook.com,(204) 367-1683,Nursery/Preschool
289,Les Toupies Inc.,"45 ave de la Digue
Winnipeg, Manitoba
R3V 1M7",lestoupiesdg@outlook.com,,"Infant, Nursery/Preschool, School Age"
290,Les Tournesols de St.Vital Inc.,"425 chemin John Forsyth
Winnipeg, Manitoba
R2N 4J3",direction@ltsv.ca,,"Infant, Nursery/Preschool, School Age"
291,Li Chi Shevru,"12 Allarie Street
St. Eustache, Manitoba
R0H 0Y0",lichishevru@mmf.mb.ca,,"Infant, Nursery/Preschool"
292,Lil' Eagles Nursery School Inc.,"15 Collegiate Drive
Ethelbert, Manitoba
R0L 0T0",lileaglesnursery@outlook.com,,Nursery/Preschool
293,L'il Wheels Day Care,"300-234 Donald Street N
Winnipeg, Manitoba
R3C 1M8",admin@provempdaycare.com,(204) 945-8023,"Infant, Nursery/Preschool"
294,Linden Meadows Child Care,"335 Lindenwood Drive E
Winnipeg, Manitoba
R3P 2H1",lindenmeadowscc@gmail.com,,"Nursery/Preschool, School Age"
295,Linden's Kid's Klub Inc.,"32 Willowdale Crescent
Brandon, Manitoba
R7B 2X3",,(204) 728-1749,"Nursery/Preschool, School Age"
296,Lindenwoods Child Care Centre Inc.,"1 Princemere Road
Winnipeg, Manitoba
R3P 1K9",sharon@lwccc.ca,(204) 489-7056,"Infant, Nursery/Preschool, School Age"
297,Linwood Child Centre Inc.,"266 Linwood Street
Winnipeg, Manitoba
R3J 2C6",linchild@mymts.net,,"Infant, Nursery/Preschool, School Age"
298,Little Bloomers' Learning Patch Inc.,"242 Russell Street
Binscarth, Manitoba
R0J 0G0",binscarthdaycare@gmail.com,,"Infant, Nursery/Preschool"
299,Little Bloomers' Learning Patch Inc.-Nursery/School Age Program,"242 Russell Street
Binscarth, Manitoba
R0J 0G0",binscarthdaycare@gmail.com,,"Nursery/Preschool, School Age"
300,Little Bo-Peep Early Learning Centre Inc.,"906 Cottonwood Road
Winnipeg, Manitoba
R2J 1G2",littlebo@mts.net,(204) 256-0694,"Infant, Nursery/Preschool"
301,Little Day Buddies Co-op Inc.,"40 Park Avenue
Lac Du Bonnet, Manitoba
R0E 1A0",littledaybuddies@outlook.com,,Nursery/Preschool
302,Little Dipper Montessori Nursery School/Collicutt Before & After School Program,"75 Cottingham Street
Winnipeg, Manitoba
R2V 3B5",,(204) 694-4443,"Nursery/Preschool, School Age"
303,Little Feet Child Care 2 Ltd. Nursery / Kindergarten,"1370 Grosvenor Avenue
Winnipeg, Manitoba
R3M 0P2",debbilee4@hotmail.com,,Nursery/Preschool
304,Little Feet Child Care Before and After School Program,"315 Oak Street
Winnipeg, Manitoba
R3M 3P8",Debbilee4@hotmail.com,,"Nursery/Preschool, School Age"
305,Little Footprints Montessori Inc.,"1727 Henderson Highway
Winnipeg, Manitoba
R2G 1P3",lfpmontessori@gmail.com,,Nursery/Preschool
306,Little Hands Early Learning Centre,"34 Main Street
Erickson, Manitoba
R0J 0P0",directorlittlehands@gmail.com,,"Infant, Nursery/Preschool"
307,Little Lambs Christian Preschool Inc.,"500 Lagimodiere Blvd
Winnipeg, Manitoba
R2J 4J1",llcp@mymts.net,,Nursery/Preschool
308,Little Minnow Day Care Inc.,"Lot 11 Grand Rapids Drive
Grand Rapids, Manitoba
R0C 1E0",littleminnowdaycare@hotmail.com,,"Infant, Nursery/Preschool"
309,Little People's Place Inc.,"906 Cottonwood Road
Winnipeg, Manitoba
R2J 1G2",caroljlppi@shaw.ca,,"Infant, Nursery/Preschool, School Age"
310,Little Pirates Children's Centre,"117 Richmond avenue N
Plumas, Manitoba
R0J 1P0",plumaschildcare@outlook.com,,"Infant, Nursery/Preschool"
311,Little Saints Learning Center,"15 St. Mark's Place
Winnipeg, Manitoba
R2M 0S3",lslc@mymts.net,,"Infant, Nursery/Preschool"
312,Little Saints Learning Center (site 2),"5 St. Vital Road
Winnipeg, Manitoba
R2M 1Z7",lslc@mymts.net,,"Infant, Nursery/Preschool"
313,Little Skippers Kinder Program,"1144 Kingsford Place
Winnipeg, Manitoba
R2G 4E9",ashley.massner@ymanitoba.ca,(204) 294-1083,Nursery/Preschool
314,Little Sprouts,"Unit B-690 Elizabeth Road
Winnipeg, Manitoba
R2J 1A4",admin@makingroots.ca,,"Infant, Nursery/Preschool"
315,Little Stars PLAYhouse,"681 Selkirk Avenue
Winnipeg, Manitoba
R2W 2N4",cherisse@littlestarsplayhouse.ca,(204) 582-1597,"Infant, Nursery/Preschool"
316,Little Steps Creative Centre Incorporated,"455 D'auteuil Drive
Ile Des Chenes, Manitoba
R0A 0T0",littlestepscreative@gmail.com,(204) 878-3663,Nursery/Preschool
317,Little Steps Head Start Family Program,"210 1st Avenue NE
Dauphin, Manitoba
R7N 1A7",dfcheadstart@mymts.net,,Nursery/Preschool
318,Little Voyageurs Learning Centre - Site 4,"619 DesMeurons Street
Winnipeg, Manitoba
R2H 2R1",,(431) 887-8612,"Infant, Nursery/Preschool"
319,Little Voyageurs Learning Centre Inc. (Site 1),"320 ave de la Cathedrale avenue
Winnipeg, Manitoba
R2H 0J4",,(204) 233-4442,"Nursery/Preschool, School Age"
320,Little Voyageurs Learning Centre Inc. Prince Edward School Site,"649 Brazier Street
Winnipeg, Manitoba
R2K 2N4",,(431) 338-6365,"Nursery/Preschool, School Age"
321,Little Wings Preschool Co-Op. Inc.,"23 Vincent Avenue
Pine Falls, Manitoba
R0E 1M0",littlewingspreschool1@gmail.com,(204) 367-2296,Nursery/Preschool
322,Living Prairie Childcare Inc.,"215 des Hivernants Boulevard
Winnipeg, Manitoba
R3X 0M1",livingprairiechildcare@gmail.com,,"Infant, Nursery/Preschool"
323,Lord Roberts Preschool Child Care,"725 Kylemore Avenue
Wpg, Manitoba
R3L 1B8",april@lordroberts.org,,"Infant, Nursery/Preschool"
324,Lord Roberts School Age Program,"665 Beresford Avenue
Wpg, Manitoba
R3L 1J9",april@lordroberts.org,,"Nursery/Preschool, School Age"
325,Lord Wolseley Nursery School Incorporated,"11-939 Henderson Highway
Winnipeg, Manitoba
R2K 2M2",lwns-liz@outlook.com,,Nursery/Preschool
326,Lovin 'N' Learnin Day Care Inc.,"45 Willowlake Crescent
Winnipeg, Manitoba
R2J 2Z4",lovnlearndaycare@gmail.com,,Nursery/Preschool
327,Lundar Day Care Inc.,"36 1st Street S
Lundar, Manitoba
R0C 1Y0",brae@mymts.net,,"Infant, Nursery/Preschool"
328,Ma Mawi Wi Chi Itata Centre Inc. - Child Development Centre,"J - 330 Blake Street
Winnipeg, Manitoba
R3E 2Z4",childdevelopmentcentre@hotmail.com,(204) 925-0304,Infant
329,MacGregor Day Nursery School Inc.,"151 Fox Street
Macgregor, Manitoba
R0H 0R0",macgregornurseryschool@hotmail.com,,Nursery/Preschool
330,"Machray Day Nursery Inc, School Age","460 Andrews Street
Winnipeg, Manitoba
R2W 4Y1",machray@shaw.ca,,"Nursery/Preschool, School Age"
331,Machray Day Nursery Inc.,"491 Salter Street
Winnipeg, Manitoba
R2W 4M4",machray@shaw.ca,,"Infant, Nursery/Preschool"
332,Machray Day Nursery Machray School Site,"140-320 Mountain Avenue
Winnipeg, Manitoba
R2W 1K1",machray@shaw.ca,,"Nursery/Preschool, School Age"
333,Magical Horizons,"135 6th Avenue SW
Dauphin, Manitoba
R7N 1W1",dmhdc@mts.net,,"Infant, Nursery/Preschool"
334,Magical Memories Learning Centre Inc.,"911 26th Street
Brandon, Manitoba
R7B 2B7",mmlc@wcgwave.ca,,"Infant, Nursery/Preschool"
335,Making Roots Montessori Centre Inc.,"660 Elizabeth Road
Winnipeg, Manitoba
R3V 1M3",admin@makingroots.ca,,Nursery/Preschool
