Centers,Locations,emails,phones,licenses,hours,programs
Happyland Infant And Toddler Daycare,"6295 Broadway, Burnaby, V5B 2Y4",happyland638@gmail.com,778-883-9030,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Harwood Montessori School,"2001 45 Ave, Vernon, V1T 3M9",harwoodmontessorischool@gmail.com,250-306-0454,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten"
Headstart Childcare Inc.,"21020 83 Ave, Langley, V2Y 0K8",headstartchildcareinfo@gmail.com,604-888-0662,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Heart To Hart Preschool & After School Care,"7151 Heather Park Rd, Prince George, V2K 5Y3",heart2hartpg@gmail.com,250-649-5845,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Highland Meadows Day Care,"8286 197Th St, Langley, V2Y 1Z1",highlandmeadowsdaycare@hotmail.com,604-888-1030,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Homera Daycare Center,"1252 Hudson St, Coquitlam, V3B 6P8",chamag23@hotmail.com,604-945-5263,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Honeybees Child Care Center,"121A 2099 Lougheed Hwy, Port Coquitlam, V3B 1A8",hellokidsworld@hotmail.com,604-949-1001,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten"
Hundred Acre Wood Child Care,"2578 North Nechako Rd, Prince George, V2K 5C3",el_pritch@hotmail.com,250-617-1089,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Imago Dei Child Care,"11571 Daniels Rd, Richmond, V6X 1M7",office@imagodeichildcare.com,778-855-2273,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
In-Joy Montessori Children's Centre,"6808 Beresford Street, Burnaby, V5E 4M6",injoymontessori@gmail.com,778-688-4585,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Inkameep Preschool Day Care Society,"1146 Sen Pok Chin Blvd, Oliver, V0H 1T8",jstelkia@oib.ca,250-498-3010,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Iplay Childcare,"14012 103 Ave, Surrey, V3T 1S2",iplaychildcare@hotmail.com,778-384-7362,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Jack & Jill Parent Participation Preschool,"690 Harmony Lane, Gibsons, V0N 1V0",admin@jackandjillpreschool.ca,604-886-9417,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Joyful Christian Childcare Abbotsford,"2597 Bourquin Cres E, Abbotsford, V2S 1Y6",jennyjoyful66@gmail.com,778-952-3870,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Jubilee Montessori,"529 Herbert Street, Duncan, V9L 1T2",leannejoy@telus.net,250-510-1873,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten"
Jumping Jacks Preschool,"1714 Canyon St, Creston, V0B 1G5",cvjumpingjacks@gmail.com,250-428-6181,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Junior Citizens Care Center,"999 Noons Creek Drive, Port Moody, V3H 4N3",oshaa2014@icloud.com,604-779-5437,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Just B4 Preschool,"1437 Allison St, Penticton, V2A 3X5",ctravers@sd67.bc.ca,250-770-7677,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Just Like Home Child Care,"478 Deering St, Nanaimo, V9R 1B9",jlh1@shaw.ca,778-441-3008,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Kaleidoscope Early Learning Centre,"1555 McLean St, Trail, V1R 1Z1",lsmcv@shaw.ca,250-368-6789,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Kamloops Montessori Preschool/Full Daycare,"920 Greystone Crecsent, Kamloops, V1S 1K7",kamloopsmontessori26@gmail.com,778-220-9457,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Kamloops Village Garden Montessori Early Learning Center,"700 Hugh Allan Drive, Kamloops, V1S 1N3",jckl.education@icloud.com,250-372-9915,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Kerrisdale Little Owl's Preschool,"109 5851 West Boulevard, Vancouver, V6M 3W9",kerrisdalelittleowls@gmail.com,778-549-2520,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Kidcare Daycare 2,"1115 Western Ave, Williams Lake, V2G 2J6",manager@womenscontact.org,250-398-8109,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Kiddies Korner Parent Participation Preschool,"2211 Prairie Ave, Port Coquitlam, V3B 1V8",accounting@kkp.ca,604-941-4919,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Kids Care Preschool,"7715 Muirfield Dr, Vancouver, V5S 2L5",cfo.svfp@gmail.com,604-325-5213,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Kids Learning Center,"2797 50Th Ave E, Vancouver, V5S 1N6",kidslearningcenter2021@outlook.com,778-628-3243,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Kids Zone Pre-Kindergarten-Childcare-Out Of School,"11601 Laity St, Maple Ridge, V2X 5A2",kidszone@shaw.ca,604-466-5704,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Kidtopia Child Care,"7135 Walker Ave, Burnaby, V5E 3C6",info@kidtopiaedu.ca,604-725-0603,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Killarney Park Preschool,"6426 Kerr Str, Vancouver, V5S 3C1",preschool@kpmbchurch.org,604-435-7455,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Kindale Child Care Centre,"2725 Patterson Ave, Armstrong, V0E 1B0",deborah_anderson@kindale.net,250-546-3005,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Kinder Play Child Care,"1170 22 St Ne, Salmon Arm, V1E 2V5",info@kinderplay.co,250-803-1104,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten"
Kinder Play Child Care Canoe Centre,"7210 51St Street Ne, Salmon Arm, V0E 1K0",info@kinderplay.ca,250-803-1104,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten"
Kolumbia Inn Daycare,"236 Ross Dr, New Westminster, V3L 3W7",kidschildcare@telus.net,604-524-0522,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Kwadacha Daycare,"Band 610, Ware, V0J 3B0",tsoodawa@yahoo.ca,250-471-2002,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
La Prematernelle Francophone Trottin-Trottinette,"380 West Kings Road, North Vancouver, V7N 2L9",direction@trottintrottinette.com,778-340-1034,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
La Prematernelle Francophone Trottin-Trottinette(<36Months),"380 Kings Rd W, North Vancouver, V7N 2L9",direction@trottintrottinette.com,778-340-1034,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Ladybird Montessori Learning Academy,"2-1180 Pinetree Way, Coquitlam, V3B 7L2",canadashineray@gmail.com,778-285-1737,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Ladybug Landing Preschool,"31789 Thornhill Pl, Abbotsford, V2T 6Y3",ladybuglanding@hotmail.com,604-850-2474,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Launchpad Early Learning Centre,"2813 Glen Drive, Coquitlam, V3B 2P6",admin@lpel.ca,778-320-8183,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Lcs Preschool And Out Of School Care,"22930 - 48Th Ave, Langley, V2Z 2T7",jvanderleek@langleychristian.com,604-533-2222,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Le' Lum' Uy' Lh,"5588 River Rd, Duncan, V9L 6V9",heather.joe@cowichantribes.com,250-715-1022,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Le Coin Des Petits,"1752 Fir Street, Prince George, V2L 1E7",cercle@netbistro.com,250-561-2565,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Learn N' Play North Langley,"2 - 9497 201St St, Langley, V1M 4A5",management@lnpchildcare.com,604-389-2049,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Learning Tree Daycare,"4103 Brant St, Vancouver, V5N 5B5",bvilla.tree@yahoo.ca,604-874-4921,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Les P'tits Lutins,"1618 Patricia Ave, Port Coquitlam, V3B 3Y5",info@lesptitslutins.ca,604-464-8724,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Lesco Montessori Daycare,"12720 Cameron Dr, Richmond, V6V 2T6",canstone.college@gmail.com,604-279-4228,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Let's Play Infant & Toddler Care,"9350 Granville Street, Port Hardy, V0N 2P0",leighannr@nicccs.org,250-949-8323,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Lil' Quills Head Start/Daycare,"818 99 South, Lillooet, V0K 1V0",daycare@cayoosecreek.ca,778-784-2129,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Lisa's Busy Bees Childcare Ltd.,"4890 Locke Road, Port Alberni, V9Y 8P9",lisafrombusybeeschildcare@outlook.com,250-731-6135,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Grade 1 to Age 12"
Little Blossom Daycare,"7283 Nelson Ave, Burnaby, V5J 4C2",littleblossombby@gmail.com,604-433-5155,Licensed Group Child Care Facility,Hours of operation: Weekends,Programs: 3 Years to Kindergarten
Little Campus Montessori Preschool,"765 Rogers Ave, Victoria, V8X 5K6",littlecampusmontessori@gmail.com,250-920-9463,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Little Critters Childcare Centre Inc.,"744 Primrose St, Qualicum Beach, V9K 1S3",littlecritterschildcarecenter@gmail.com,250-240-9653,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Little Fawn Nursery - Head Start Program,"360 Chief Alex Thomas Way, Kamloops, V2H 1H1",,250-828-9700,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Little Fish Daycare,"2319 East 17Th Avenue, Vancouver, V5N 4Y1",littlefish.jko@gmail.com,604-336-9730,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Little Flower Child Development Centre,"5700 Nickerson Road, Sechelt, V7Z 0M4",littleflowerchildcare@hotmail.com,604-740-0778,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Little Friends Childcare Inc.,"40 High St, Victoria, V8Z 5C7",info@littlefriendschildcare.ca,250-479-8423,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Gems (Little Star Children's Centre Ltd.),"825 Village Way, Qualicum Beach, V9K 1A1",hello@littlestardaycare.ca,250-228-5437,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Little Genius Academy,"1121 Dominion Rd, Victoria, V9A 4E7",maryvivi90@hotmail.com,250-384-2806,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Little Gnomes Childcare,"2350 Alberni Hwy, Coombs, V0R 1M0",littlegnomeschildcare@gmail.com,250-240-8694,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Kids Kingdom,"15046 68 Ave, Surrey, V3S 2B7",littlekidskingdom@gmail.com,778-565-3117,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Little Koala Montessori Academy Clarke,"110-12855 Clarke Pl, Richmond, V6V 2H9",lkma.surrey@gmail.com,778-999-9229,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Koala Montessori Surrey,"14947 108 Ave, Surrey, V3R 1W3",lkma.surrey@gmail.com,604-951-4008,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Little Lakers Learning Centre,"B-1680 Santa Rosa Rd, Christina Lake, V0H 1E3",lakedaycare@gmail.com,250-447-6336,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Little Lions Child Care And Preschool Inc,"103 - 2955 Immel St, Abbotsford, V2S 7E2",childcarelittlelions@gmail.com,778-347-0553,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Little Monsters Academy,"5888 Fraser St, Vancouver, V5W 2Z5",academonsters@gmail.com,778-522-9406,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Little Mountain Child Care Center,"9601 Hamilton St, Chilliwack, V2P 3X4",littlemountainchildcarecenter@gmail.com,604-997-8446,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Little Otters Preschool,"5370 248Th St, Room 12, Langley, V4W 1A7",info.littleotterspreschool@gmail.com,604-857-7550,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Little Owl Early Learning,"1648 Richardson Street, Victoria, V8S 1R4",littleowlearlylearning@gmail.com,250-516-1338,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Little Owl Early Learning 2,"2575 Victor Street, Victoria, V8R 4E1",littleowlearlylearning@gmail.com,250-516-1338,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Owl Early Learning 3,"2060 Haultain Street, Victoria, V8R 2L7",littleowlearlylearning@gmail.com,250-516-1338,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Rainbow House Preschool & Daycare,"700 Clearwater Way, Coquitlam, V3C 6A3",lrhacct@gmail.com,604-945-2727,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Little Rascals Delbrook,"120-3721 Delbrook Ave, North Vancouver, V7N 3Z4",info@littlerascalsdelbrook.ca,778-340-9595,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Little Saplings Child Care,"1152 Nicola St, Kamloops, V2C 2S3",littlesaplings12@gmail.com,778-694-0733,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Scholars Learning Academy,"104 - 17720 57 Ave, Surrey, V3S 1H2",littlescholars@shaw.ca,604-372-4430,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Star Children's Centre,"600 Beach Rd, Qualicum Beach, V9K 1K7",hello@littlestardaycare.ca,250-752-4554,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool"
Little Star Montessori Preschool,"100-1260 Lynn Valley Rd, North Vancouver, V7J 2A3",perveen@littlestarmontessori.com,604-986-2305,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Little Summit Daycare,"1100 11Th St S, Cranbrook, V1C 1V8",ed@summitfamily.ca,250-489-3114,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Timbers Children's Centre Ltd.,"A5-465 Merecroft Rd, Campbell River, V9W 6K6",liltimbers@outlook.com,250-914-4241,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Little Treasures Daycare Inc,"450 Blue Mountain St, Coquitlam, V3K 4K5",info@littletreasuresdaycare.ca,604-931-5593,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Little Valley Learning Centre And Daycare,"14750 108 Ave, Surrey, V3R 1V8",littlevalleycentre@gmail.com,778-395-0123,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Little Wonderland Childcare,"7767 12Th Ave, Burnaby, V3N 2K6",littlewonderlandchildcare2021@gmail.com,778-885-9386,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Little Wonders Childcare,"750 Merlot Ave, Oliver, V0H 1T0",lwchildcareoliver@gmail.com,250-689-2135,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Logan Lake Laugh And Learn Daycare,"130B Chartrand Ave, Logan Lake, V0K 1W0",loganlakedaycare@gmail.com,250-523-3044,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Logan Lake Little Learners Preschool,"4 Galena, Logan Lake, V0K 1W0",why@loganlakewhy.ca,250-523-6229,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Luna Park Preschool,"657 Raymer Rd, Kelowna, V1Y 4Z6",,250-762-7505,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool"
Lynn Valley Parent Participation Preschool,"3220 Mountain Highway, North Vancouver, V7K 2H5",enrollmentlvppp@gmail.com,604-985-5512,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Maaqtusiis Childcare Centre,"520 Main St, Ahousat, V0R 1A0",mena.duncan@ahousahted.ca,250-670-9519,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Magic Bean Daycare,"4891 Hermitage Dr, Richmond, V7E 4P3",minianne@hotmail.com,778-789-5215,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Maison Montessori Child Care,"13444 Amblewood Dr, Surrey, V4A 6M3",annette@maisonmontessori.ca,604-531-2124,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool"
Malakwa Playschool,"4055 Mal-Cem Rd, Malakwa, V0E 2J0",ggau@telus.net,250-804-6890,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Mamalina's Primary Montessori Childcare Centre,"4317 Gallant Ave, North Vancouver, V7G 2C1",yesminp@shaw.ca,604-924-1253,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Mandokids Early Learning,"105-15210 32 Ave, Surrey, V3Z 0R8",admin@mandokidslearning.com,604-229-0899,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Marina Bay Academy,"3-5775 Marine Dr, West Vancouver, V7W 2S1",marinabaychildcare@gmail.com,778-984-3200,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Marina Bay Academy,"3-5775 Marine Dr, West Vancouver, V7W 2S1",marinabaychildcare@gmail.com,778-984-3200,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Marpole Oakridge Family Place Society (Mofp),"8188 Lord St, Vancouver, V6P 0G8",ed@mofp.org,604-263-1405,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Marzanna's Montessori Preschool,"4824 Commercial Street, Vancouver, V5N 4H1",marzenabis@yahoo.com,604-871-0620,Licensed Group Child Care Facility,Hours of operation: Weekends,Programs: Licensed Preschool
Maven Lane - Armstrong,"2905 Wood Ave, Armstrong, V0E 1B2",hollie@mavenlane.org,250-558-9963,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Maven Lane Lavington,"9780 School Rd, Coldstream, V1B 3G4",hollie@mavenlane.org,250-558-9963,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Mayra's Daycare,"4 Grebe St, Kitimat, V8C 1P1",mdaycarekit@gmail.com,250-407-2415,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Meadow Montessori School Society,"11391 Dartford St, Maple Ridge, V2X 1V6",admin@meadowmontessori.ca,604-465-3492,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Mem7iman Child Development Centre,"5601 Swiyk'als Dr, Sechelt, V0N 3A0",smckinlay@secheltnation.net,604-885-5044,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Merry King Preschool,"9180 No. 1 Rd, Richmond, V7E 6L5",dng@richmond.ca,604-238-8400,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Meta Montessori House,"3405 Worthington Dr, Vancouver, V5M 3Y1",phuong@metamontessori.com,604-620-6347,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Mini Miracles Toddler Centre,"913 Madore Ave, Coquitlam, V3K 3B4",mmtc913@gmail.com,778-886-2351,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Mish Mash,"40022 Government Rd, Squamish, V8B 0A9",mishkids@shaw.ca,604-848-8133,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Momentum Childcare,"21 12Th Ave S, Cranbrook, V1C 2R8",momentumchildcare@gmail.com,250-417-7708,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Monarch Montessori School,"4405 8Th Ave W, Vancouver, V6R 2A3",info@monarchmontessori.ca,604-563-9511,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Montessori And More Learning Centre,"2475 Franklin St, Vancouver, V5K 1X3",admin@montessoriandmore.ca,604-312-0365,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Montessori Infant/Toddler's Cottage,"767 Seymour Street, Kamloops, V2C 2H4",kamloopsmontessoriinfants@gmail.com,778-220-9457,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Ms Patty's Westside Montessori Children's Centre,"3155 Glenrosa Rd, West Kelowna, V4T 1A1",mspattysmontessori@hotmail.com,250-869-5185,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Grade 1 to Age 12"
Mulberry Tree Infant And Toddler Childcare,"3784 Frances St, Burnaby, V5C 2N8",mulberrytreechildcareburnaby@gmail.com,604-428-1733,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Munchkaroo Child Care,"3260 Galloway Rd, Victoria, V9C 2S7",munchkaroocc@gmail.com,250-888-5084,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
My Little School Daycare (1991) Inc.,"1890 Deep Cove Road, North Vancouver, V7G 1S6",mylittleschool@gmail.com,604-728-7597,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
My Little School Daycare (1991) Inc.,"1890 Deep Cove Road, North Vancouver, V7G 1S6",mylittleschool@gmail.com,604-728-7597,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
My Little School Daycare (1991) Inc.,"1890 Deep Cove Road, North Vancouver, V7G 1S6",mylittleschool@gmail.com,604-728-7597,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
N'quatqua Child & Family Development Centre,"64 Casper Charlie Pl, D'arcy, V0N 1L0",lisa.sambo@nquatqua.ca,604-452-3584,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
N'quatqua Child And Family Development Centre,"64 Casper Charlie Place, Darcy, V0N 1L0",anita.patrick@nquatqua.ca,604-452-3584,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Nanaimo Christian School Early Care And Learning,"198 Holland Road, Nanaimo, V9R 6W2",terri.vanek-veenstra@ncsnanaimo.com,250-754-4512,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Nature's Garden Childcare Centre,"2801 Hoskins Rd, North Vancouver, V7J 3A8",naturesgardenchildcare@gmail.com,604-356-0329,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Nature's Playground Daycare,"17490 61B Ave, Surrey, V3S 4R8",serena@npdc.ca,778-228-9723,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Nelson Waldorf Childcare,"3648 Silver King Ski Hill Rd, Nelson, V1L 5P9",childcare@nelsonwaldorf.org,250-352-6919,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
